公表_年月日,全国地方公共団体コード,都道府県名,市区町村名,陽性者数,うち濃厚接触者
2020-03-16T00:00:00,080004,茨城県,,0,0
2020-03-17T00:00:00,080004,茨城県,,1,0
2020-03-18T00:00:00,080004,茨城県,,1,0
2020-03-19T00:00:00,080004,茨城県,,1,0
2020-03-20T00:00:00,080004,茨城県,,0,0
2020-03-21T00:00:00,080004,茨城県,,0,0
2020-03-22T00:00:00,080004,茨城県,,0,0
2020-03-23T00:00:00,080004,茨城県,,2,1
2020-03-24T00:00:00,080004,茨城県,,5,4
2020-03-25T00:00:00,080004,茨城県,,0,0
2020-03-26T00:00:00,080004,茨城県,,0,0
2020-03-27T00:00:00,080004,茨城県,,3,2
2020-03-28T00:00:00,080004,茨城県,,3,2
2020-03-29T00:00:00,080004,茨城県,,0,0
2020-03-30T00:00:00,080004,茨城県,,4,4
2020-03-31T00:00:00,080004,茨城県,,4,3
2020-04-01T00:00:00,080004,茨城県,,18,17
2020-04-02T00:00:00,080004,茨城県,,2,0
2020-04-03T00:00:00,080004,茨城県,,10,8
2020-04-04T00:00:00,080004,茨城県,,5,2
2020-04-05T00:00:00,080004,茨城県,,5,4
2020-04-06T00:00:00,080004,茨城県,,7,6
2020-04-07T00:00:00,080004,茨城県,,6,1
2020-04-08T00:00:00,080004,茨城県,,0,0
2020-04-09T00:00:00,080004,茨城県,,4,2
2020-04-10T00:00:00,080004,茨城県,,10,3
2020-04-11T00:00:00,080004,茨城県,,10,8
2020-04-12T00:00:00,080004,茨城県,,8,7
2020-04-13T00:00:00,080004,茨城県,,1,1
2020-04-14T00:00:00,080004,茨城県,,6,3
2020-04-15T00:00:00,080004,茨城県,,3,1
2020-04-16T00:00:00,080004,茨城県,,4,4
2020-04-17T00:00:00,080004,茨城県,,8,7
2020-04-18T00:00:00,080004,茨城県,,4,3
2020-04-19T00:00:00,080004,茨城県,,4,3
2020-04-20T00:00:00,080004,茨城県,,4,3
2020-04-21T00:00:00,080004,茨城県,,3,2
2020-04-22T00:00:00,080004,茨城県,,5,2
2020-04-23T00:00:00,080004,茨城県,,2,1
2020-04-24T00:00:00,080004,茨城県,,4,4
2020-04-25T00:00:00,080004,茨城県,,3,1
2020-04-26T00:00:00,080004,茨城県,,1,1
2020-04-27T00:00:00,080004,茨城県,,0,0
2020-04-28T00:00:00,080004,茨城県,,1,1
2020-04-29T00:00:00,080004,茨城県,,1,0
2020-04-30T00:00:00,080004,茨城県,,0,0
2020-05-01T00:00:00,080004,茨城県,,2,0
2020-05-02T00:00:00,080004,茨城県,,0,0
2020-05-03T00:00:00,080004,茨城県,,0,0
2020-05-04T00:00:00,080004,茨城県,,2,1
2020-05-05T00:00:00,080004,茨城県,,1,1
2020-05-06T00:00:00,080004,茨城県,,0,0
2020-05-07T00:00:00,080004,茨城県,,0,0
2020-05-08T00:00:00,080004,茨城県,,0,0
2020-05-09T00:00:00,080004,茨城県,,0,0
2020-05-10T00:00:00,080004,茨城県,,0,0
2020-05-11T00:00:00,080004,茨城県,,0,0
2020-05-12T00:00:00,080004,茨城県,,0,0
2020-05-13T00:00:00,080004,茨城県,,0,0
2020-05-14T00:00:00,080004,茨城県,,0,0
2020-05-15T00:00:00,080004,茨城県,,0,0
2020-05-16T00:00:00,080004,茨城県,,0,0
2020-05-17T00:00:00,080004,茨城県,,0,0
2020-05-18T00:00:00,080004,茨城県,,0,0
2020-05-19T00:00:00,080004,茨城県,,0,0
2020-05-20T00:00:00,080004,茨城県,,0,0
2020-05-21T00:00:00,080004,茨城県,,0,0
2020-05-22T00:00:00,080004,茨城県,,0,0
2020-05-23T00:00:00,080004,茨城県,,0,0
2020-05-24T00:00:00,080004,茨城県,,0,0
2020-05-25T00:00:00,080004,茨城県,,0,0
2020-05-26T00:00:00,080004,茨城県,,0,0
2020-05-27T00:00:00,080004,茨城県,,0,0
2020-05-28T00:00:00,080004,茨城県,,0,0
2020-05-29T00:00:00,080004,茨城県,,0,0
2020-05-30T00:00:00,080004,茨城県,,0,0
2020-05-31T00:00:00,080004,茨城県,,0,0
2020-06-01T00:00:00,080004,茨城県,,0,0
2020-06-02T00:00:00,080004,茨城県,,0,0
2020-06-03T00:00:00,080004,茨城県,,0,0
2020-06-04T00:00:00,080004,茨城県,,0,0
2020-06-05T00:00:00,080004,茨城県,,0,0
2020-06-06T00:00:00,080004,茨城県,,0,0
2020-06-07T00:00:00,080004,茨城県,,0,0
2020-06-08T00:00:00,080004,茨城県,,0,0
2020-06-09T00:00:00,080004,茨城県,,0,0
2020-06-10T00:00:00,080004,茨城県,,0,0
2020-06-11T00:00:00,080004,茨城県,,0,0
2020-06-12T00:00:00,080004,茨城県,,0,0
2020-06-13T00:00:00,080004,茨城県,,0,0
2020-06-14T00:00:00,080004,茨城県,,0,0
2020-06-15T00:00:00,080004,茨城県,,0,0
2020-06-16T00:00:00,080004,茨城県,,0,0
2020-06-17T00:00:00,080004,茨城県,,0,0
2020-06-18T00:00:00,080004,茨城県,,0,0
2020-06-19T00:00:00,080004,茨城県,,0,0
2020-06-20T00:00:00,080004,茨城県,,2,0
2020-06-21T00:00:00,080004,茨城県,,0,0
2020-06-22T00:00:00,080004,茨城県,,0,0
2020-06-23T00:00:00,080004,茨城県,,0,0
2020-06-24T00:00:00,080004,茨城県,,0,0
2020-06-25T00:00:00,080004,茨城県,,0,0
2020-06-26T00:00:00,080004,茨城県,,2,1
2020-06-27T00:00:00,080004,茨城県,,0,0
2020-06-28T00:00:00,080004,茨城県,,1,0
2020-06-29T00:00:00,080004,茨城県,,1,0
2020-06-30T00:00:00,080004,茨城県,,0,0
2020-07-01T00:00:00,080004,茨城県,,0,0
2020-07-02T00:00:00,080004,茨城県,,2,0
2020-07-03T00:00:00,080004,茨城県,,6,4
2020-07-04T00:00:00,080004,茨城県,,1,0
2020-07-05T00:00:00,080004,茨城県,,0,0
2020-07-06T00:00:00,080004,茨城県,,3,2
2020-07-07T00:00:00,080004,茨城県,,1,0
2020-07-08T00:00:00,080004,茨城県,,1,1
2020-07-09T00:00:00,080004,茨城県,,1,0
2020-07-10T00:00:00,080004,茨城県,,7,2
2020-07-11T00:00:00,080004,茨城県,,0,0
2020-07-12T00:00:00,080004,茨城県,,3,1
2020-07-13T00:00:00,080004,茨城県,,3,0
2020-07-14T00:00:00,080004,茨城県,,2,0
2020-07-15T00:00:00,080004,茨城県,,5,3
2020-07-16T00:00:00,080004,茨城県,,2,0
2020-07-17T00:00:00,080004,茨城県,,4,1
2020-07-18T00:00:00,080004,茨城県,,5,4
2020-07-19T00:00:00,080004,茨城県,,5,5
2020-07-20T00:00:00,080004,茨城県,,1,0
2020-07-21T00:00:00,080004,茨城県,,4,0
2020-07-22T00:00:00,080004,茨城県,,5,3
2020-07-23T00:00:00,080004,茨城県,,2,0
2020-07-24T00:00:00,080004,茨城県,,2,1
2020-07-25T00:00:00,080004,茨城県,,0,0
2020-07-26T00:00:00,080004,茨城県,,3,2
2020-07-27T00:00:00,080004,茨城県,,2,1
2020-07-28T00:00:00,080004,茨城県,,15,4
2020-07-29T00:00:00,080004,茨城県,,9,6
2020-07-30T00:00:00,080004,茨城県,,12,7
2020-07-31T00:00:00,080004,茨城県,,14,11
2020-08-01T00:00:00,080004,茨城県,,14,10
2020-08-02T00:00:00,080004,茨城県,,14,11
2020-08-03T00:00:00,080004,茨城県,,5,2
2020-08-04T00:00:00,080004,茨城県,,7,3
2020-08-05T00:00:00,080004,茨城県,,10,6
2020-08-06T00:00:00,080004,茨城県,,12,7
2020-08-07T00:00:00,080004,茨城県,,12,4
2020-08-08T00:00:00,080004,茨城県,,12,10
2020-08-09T00:00:00,080004,茨城県,,17,14
2020-08-10T00:00:00,080004,茨城県,,6,2
2020-08-11T00:00:00,080004,茨城県,,3,2
2020-08-12T00:00:00,080004,茨城県,,10,8
2020-08-13T00:00:00,080004,茨城県,,15,6
2020-08-14T00:00:00,080004,茨城県,,12,8
2020-08-15T00:00:00,080004,茨城県,,7,4
2020-08-16T00:00:00,080004,茨城県,,2,1
2020-08-17T00:00:00,080004,茨城県,,4,2
2020-08-18T00:00:00,080004,茨城県,,7,5
2020-08-19T00:00:00,080004,茨城県,,13,6
2020-08-20T00:00:00,080004,茨城県,,3,0
2020-08-21T00:00:00,080004,茨城県,,11,7
2020-08-22T00:00:00,080004,茨城県,,8,7
2020-08-23T00:00:00,080004,茨城県,,5,2
2020-08-24T00:00:00,080004,茨城県,,4,3
2020-08-25T00:00:00,080004,茨城県,,5,3
2020-08-26T00:00:00,080004,茨城県,,12,6
2020-08-27T00:00:00,080004,茨城県,,8,5
2020-08-28T00:00:00,080004,茨城県,,6,4
2020-08-29T00:00:00,080004,茨城県,,4,0
2020-08-30T00:00:00,080004,茨城県,,2,1
2020-08-31T00:00:00,080004,茨城県,,1,0
2020-09-01T00:00:00,080004,茨城県,,4,2
2020-09-02T00:00:00,080004,茨城県,,6,3
2020-09-03T00:00:00,080004,茨城県,,4,2
2020-09-04T00:00:00,080004,茨城県,,8,4
2020-09-05T00:00:00,080004,茨城県,,6,0
2020-09-06T00:00:00,080004,茨城県,,10,7
2020-09-07T00:00:00,080004,茨城県,,0,0
2020-09-08T00:00:00,080004,茨城県,,5,5
2020-09-09T00:00:00,080004,茨城県,,1,0
2020-09-10T00:00:00,080004,茨城県,,4,0
2020-09-11T00:00:00,080004,茨城県,,13,10
2020-09-12T00:00:00,080004,茨城県,,3,2
2020-09-13T00:00:00,080004,茨城県,,3,3
2020-09-14T00:00:00,080004,茨城県,,2,2
2020-09-15T00:00:00,080004,茨城県,,2,1
2020-09-16T00:00:00,080004,茨城県,,2,0
2020-09-17T00:00:00,080004,茨城県,,3,0
2020-09-18T00:00:00,080004,茨城県,,1,1
2020-09-19T00:00:00,080004,茨城県,,1,0
2020-09-20T00:00:00,080004,茨城県,,1,0
2020-09-21T00:00:00,080004,茨城県,,3,0
2020-09-22T00:00:00,080004,茨城県,,2,1
2020-09-23T00:00:00,080004,茨城県,,1,0
2020-09-24T00:00:00,080004,茨城県,,1,1
2020-09-25T00:00:00,080004,茨城県,,1,0
2020-09-26T00:00:00,080004,茨城県,,5,2
2020-09-27T00:00:00,080004,茨城県,,1,1
2020-09-28T00:00:00,080004,茨城県,,11,11
2020-09-29T00:00:00,080004,茨城県,,3,0
2020-09-30T00:00:00,080004,茨城県,,5,2
2020-10-01T00:00:00,080004,茨城県,,2,1
2020-10-02T00:00:00,080004,茨城県,,9,4
2020-10-03T00:00:00,080004,茨城県,,3,2
2020-10-04T00:00:00,080004,茨城県,,5,2
2020-10-05T00:00:00,080004,茨城県,,1,0
2020-10-06T00:00:00,080004,茨城県,,4,2
2020-10-07T00:00:00,080004,茨城県,,12,7
2020-10-08T00:00:00,080004,茨城県,,5,4
2020-10-09T00:00:00,080004,茨城県,,2,1
2020-10-10T00:00:00,080004,茨城県,,6,6
2020-10-11T00:00:00,080004,茨城県,,3,0
2020-10-12T00:00:00,080004,茨城県,,1,1
2020-10-13T00:00:00,080004,茨城県,,0,0
2020-10-14T00:00:00,080004,茨城県,,5,3
2020-10-15T00:00:00,080004,茨城県,,4,1
2020-10-16T00:00:00,080004,茨城県,,4,4
2020-10-17T00:00:00,080004,茨城県,,2,2
2020-10-18T00:00:00,080004,茨城県,,3,2
2020-10-19T00:00:00,080004,茨城県,,0,0
2020-10-20T00:00:00,080004,茨城県,,2,2
2020-10-21T00:00:00,080004,茨城県,,1,1
2020-10-22T00:00:00,080004,茨城県,,4,1
2020-10-23T00:00:00,080004,茨城県,,2,0
2020-10-24T00:00:00,080004,茨城県,,2,1
2020-10-25T00:00:00,080004,茨城県,,2,1
2020-10-26T00:00:00,080004,茨城県,,2,2
2020-10-27T00:00:00,080004,茨城県,,1,0
2020-10-28T00:00:00,080004,茨城県,,6,0
2020-10-29T00:00:00,080004,茨城県,,7,5
2020-10-30T00:00:00,080004,茨城県,,7,7
2020-10-31T00:00:00,080004,茨城県,,4,3
2020-11-01T00:00:00,080004,茨城県,,2,1
2020-11-02T00:00:00,080004,茨城県,,3,0
2020-11-03T00:00:00,080004,茨城県,,2,0
2020-11-04T00:00:00,080004,茨城県,,4,1
2020-11-05T00:00:00,080004,茨城県,,10,8
2020-11-06T00:00:00,080004,茨城県,,7,7
2020-11-07T00:00:00,080004,茨城県,,10,7
2020-11-08T00:00:00,080004,茨城県,,12,10
2020-11-09T00:00:00,080004,茨城県,,7,5
2020-11-10T00:00:00,080004,茨城県,,9,7
2020-11-11T00:00:00,080004,茨城県,,20,8
2020-11-12T00:00:00,080004,茨城県,,26,12
2020-11-13T00:00:00,080004,茨城県,,26,11
2020-11-14T00:00:00,080004,茨城県,,40,29
2020-11-15T00:00:00,080004,茨城県,,21,16
2020-11-16T00:00:00,080004,茨城県,,10,8
2020-11-17T00:00:00,080004,茨城県,,55,39
2020-11-18T00:00:00,080004,茨城県,,39,29
2020-11-19T00:00:00,080004,茨城県,,28,17
2020-11-20T00:00:00,080004,茨城県,,40,24
2020-11-21T00:00:00,080004,茨城県,,66,43
2020-11-22T00:00:00,080004,茨城県,,47,29
2020-11-23T00:00:00,080004,茨城県,,32,19
2020-11-24T00:00:00,080004,茨城県,,26,18
2020-11-25T00:00:00,080004,茨城県,,36,23
2020-11-26T00:00:00,080004,茨城県,,50,32
2020-11-27T00:00:00,080004,茨城県,,45,28
2020-11-28T00:00:00,080004,茨城県,,66,40
2020-11-29T00:00:00,080004,茨城県,,31,18
2020-11-30T00:00:00,080004,茨城県,,23,14
2020-12-01T00:00:00,080004,茨城県,,50,37
2020-12-02T00:00:00,080004,茨城県,,44,23
2020-12-03T00:00:00,080004,茨城県,,37,22
2020-12-04T00:00:00,080004,茨城県,,85,74
2020-12-05T00:00:00,080004,茨城県,,31,22
2020-12-06T00:00:00,080004,茨城県,,24,16
2020-12-07T00:00:00,080004,茨城県,,12,10
2020-12-08T00:00:00,080004,茨城県,,34,29
2020-12-09T00:00:00,080004,茨城県,,14,8
2020-12-10T00:00:00,080004,茨城県,,19,8
2020-12-11T00:00:00,080004,茨城県,,24,13
2020-12-12T00:00:00,080004,茨城県,,38,37
2020-12-13T00:00:00,080004,茨城県,,14,7
2020-12-14T00:00:00,080004,茨城県,,25,24
2020-12-15T00:00:00,080004,茨城県,,18,11
2020-12-16T00:00:00,080004,茨城県,,23,15
2020-12-17T00:00:00,080004,茨城県,,28,20
2020-12-18T00:00:00,080004,茨城県,,17,10
2020-12-19T00:00:00,080004,茨城県,,19,7
2020-12-20T00:00:00,080004,茨城県,,16,11
2020-12-21T00:00:00,080004,茨城県,,16,12
2020-12-22T00:00:00,080004,茨城県,,19,11
2020-12-23T00:00:00,080004,茨城県,,19,10
2020-12-24T00:00:00,080004,茨城県,,39,28
2020-12-25T00:00:00,080004,茨城県,,27,17
2020-12-26T00:00:00,080004,茨城県,,27,24
2020-12-27T00:00:00,080004,茨城県,,27,18
2020-12-28T00:00:00,080004,茨城県,,31,23
2020-12-29T00:00:00,080004,茨城県,,43,23
2020-12-30T00:00:00,080004,茨城県,,37,23
2020-12-31T00:00:00,080004,茨城県,,28,20
2021-01-01T00:00:00,080004,茨城県,,42,34
2021-01-02T00:00:00,080004,茨城県,,20,15
2021-01-03T00:00:00,080004,茨城県,,52,35
2021-01-04T00:00:00,080004,茨城県,,32,11
2021-01-05T00:00:00,080004,茨城県,,67,43
2021-01-06T00:00:00,080004,茨城県,,71,35
2021-01-07T00:00:00,080004,茨城県,,90,47
2021-01-08T00:00:00,080004,茨城県,,127,80
2021-01-09T00:00:00,080004,茨城県,,109,72
2021-01-10T00:00:00,080004,茨城県,,84,56
2021-01-11T00:00:00,080004,茨城県,,67,45
2021-01-12T00:00:00,080004,茨城県,,70,51
2021-01-13T00:00:00,080004,茨城県,,77,43
2021-01-14T00:00:00,080004,茨城県,,104,68
2021-01-15T00:00:00,080004,茨城県,,159,130
2021-01-16T00:00:00,080004,茨城県,,106,70
2021-01-17T00:00:00,080004,茨城県,,89,47
2021-01-18T00:00:00,080004,茨城県,,63,43
2021-01-19T00:00:00,080004,茨城県,,66,40
2021-01-20T00:00:00,080004,茨城県,,83,48
2021-01-21T00:00:00,080004,茨城県,,82,50
2021-01-22T00:00:00,080004,茨城県,,78,48
2021-01-23T00:00:00,080004,茨城県,,132,103
2021-01-24T00:00:00,080004,茨城県,,46,30
2021-01-25T00:00:00,080004,茨城県,,45,31
2021-01-26T00:00:00,080004,茨城県,,49,26
2021-01-27T00:00:00,080004,茨城県,,84,55
2021-01-28T00:00:00,080004,茨城県,,60,45
2021-01-29T00:00:00,080004,茨城県,,86,63
2021-01-30T00:00:00,080004,茨城県,,69,58
2021-01-31T00:00:00,080004,茨城県,,63,46
2021-02-01T00:00:00,080004,茨城県,,28,23
2021-02-02T00:00:00,080004,茨城県,,29,21
2021-02-03T00:00:00,080004,茨城県,,39,24
2021-02-04T00:00:00,080004,茨城県,,64,54
2021-02-05T00:00:00,080004,茨城県,,56,48
2021-02-06T00:00:00,080004,茨城県,,58,46
2021-02-07T00:00:00,080004,茨城県,,50,42
2021-02-08T00:00:00,080004,茨城県,,31,29
2021-02-09T00:00:00,080004,茨城県,,40,32
2021-02-10T00:00:00,080004,茨城県,,33,25
2021-02-11T00:00:00,080004,茨城県,,46,35
2021-02-12T00:00:00,080004,茨城県,,21,15
2021-02-13T00:00:00,080004,茨城県,,19,15
2021-02-14T00:00:00,080004,茨城県,,38,35
2021-02-15T00:00:00,080004,茨城県,,19,18
2021-02-16T00:00:00,080004,茨城県,,21,11
2021-02-17T00:00:00,080004,茨城県,,26,24
2021-02-18T00:00:00,080004,茨城県,,39,33
2021-02-19T00:00:00,080004,茨城県,,22,16
2021-02-20T00:00:00,080004,茨城県,,38,34
2021-02-21T00:00:00,080004,茨城県,,46,42
2021-02-22T00:00:00,080004,茨城県,,14,13
2021-02-23T00:00:00,080004,茨城県,,16,14
2021-02-24T00:00:00,080004,茨城県,,58,55
2021-02-25T00:00:00,080004,茨城県,,13,8
2021-02-26T00:00:00,080004,茨城県,,28,23
2021-02-27T00:00:00,080004,茨城県,,30,23
2021-02-28T00:00:00,080004,茨城県,,15,12
2021-03-01T00:00:00,080004,茨城県,,53,51
2021-03-02T00:00:00,080004,茨城県,,18,13
2021-03-03T00:00:00,080004,茨城県,,34,23
2021-03-04T00:00:00,080004,茨城県,,37,31
2021-03-05T00:00:00,080004,茨城県,,44,40
2021-03-06T00:00:00,080004,茨城県,,28,21
2021-03-07T00:00:00,080004,茨城県,,21,15
2021-03-08T00:00:00,080004,茨城県,,22,20
2021-03-09T00:00:00,080004,茨城県,,26,18
2021-03-10T00:00:00,080004,茨城県,,33,26
2021-03-11T00:00:00,080004,茨城県,,35,29
2021-03-12T00:00:00,080004,茨城県,,43,33
2021-03-13T00:00:00,080004,茨城県,,17,7
2021-03-14T00:00:00,080004,茨城県,,18,15
2021-03-15T00:00:00,080004,茨城県,,10,9
2021-03-16T00:00:00,080004,茨城県,,25,19
2021-03-17T00:00:00,080004,茨城県,,40,28
2021-03-18T00:00:00,080004,茨城県,,47,36
2021-03-19T00:00:00,080004,茨城県,,38,25
2021-03-20T00:00:00,080004,茨城県,,33,28
2021-03-21T00:00:00,080004,茨城県,,22,19
2021-03-22T00:00:00,080004,茨城県,,19,13
2021-03-23T00:00:00,080004,茨城県,,33,19
2021-03-24T00:00:00,080004,茨城県,,45,32
