公表_年月日,全国地方公共団体コード,都道府県名,市区町村名,陽性者数,うち濃厚接触者
2021-03-25T00:00:00,080004,茨城県,,36,32
2021-03-26T00:00:00,080004,茨城県,,35,29
2021-03-27T00:00:00,080004,茨城県,,33,18
2021-03-28T00:00:00,080004,茨城県,,51,38
2021-03-29T00:00:00,080004,茨城県,,23,17
2021-03-30T00:00:00,080004,茨城県,,29,21
2021-03-31T00:00:00,080004,茨城県,,37,22
2021-04-01T00:00:00,080004,茨城県,,25,13
2021-04-02T00:00:00,080004,茨城県,,35,24
2021-04-03T00:00:00,080004,茨城県,,31,23
2021-04-04T00:00:00,080004,茨城県,,45,32
2021-04-05T00:00:00,080004,茨城県,,16,10
2021-04-06T00:00:00,080004,茨城県,,16,10
2021-04-07T00:00:00,080004,茨城県,,46,32
2021-04-08T00:00:00,080004,茨城県,,39,31
2021-04-09T00:00:00,080004,茨城県,,38,26
2021-04-10T00:00:00,080004,茨城県,,39,26
2021-04-11T00:00:00,080004,茨城県,,43,27
2021-04-12T00:00:00,080004,茨城県,,17,11
2021-04-13T00:00:00,080004,茨城県,,30,17
2021-04-14T00:00:00,080004,茨城県,,51,27
2021-04-15T00:00:00,080004,茨城県,,59,38
2021-04-16T00:00:00,080004,茨城県,,52,28
2021-04-17T00:00:00,080004,茨城県,,63,36
2021-04-18T00:00:00,080004,茨城県,,47,21
2021-04-19T00:00:00,080004,茨城県,,52,30
2021-04-20T00:00:00,080004,茨城県,,33,12
2021-04-21T00:00:00,080004,茨城県,,62,39
2021-04-22T00:00:00,080004,茨城県,,87,52
2021-04-23T00:00:00,080004,茨城県,,63,35
2021-04-24T00:00:00,080004,茨城県,,82,52
2021-04-25T00:00:00,080004,茨城県,,76,51
2021-04-26T00:00:00,080004,茨城県,,35,24
2021-04-27T00:00:00,080004,茨城県,,48,22
2021-04-28T00:00:00,080004,茨城県,,70,46
2021-04-29T00:00:00,080004,茨城県,,58,34
2021-04-30T00:00:00,080004,茨城県,,45,30
2021-05-01T00:00:00,080004,茨城県,,65,38
2021-05-02T00:00:00,080004,茨城県,,63,36
2021-05-03T00:00:00,080004,茨城県,,46,24
2021-05-04T00:00:00,080004,茨城県,,31,20
2021-05-05T00:00:00,080004,茨城県,,36,24
2021-05-06T00:00:00,080004,茨城県,,26,16
2021-05-07T00:00:00,080004,茨城県,,49,24
2021-05-08T00:00:00,080004,茨城県,,66,39
2021-05-09T00:00:00,080004,茨城県,,41,22
2021-05-10T00:00:00,080004,茨城県,,40,22
2021-05-11T00:00:00,080004,茨城県,,73,50
2021-05-12T00:00:00,080004,茨城県,,70,46
2021-05-13T00:00:00,080004,茨城県,,68,51
2021-05-14T00:00:00,080004,茨城県,,67,49
2021-05-15T00:00:00,080004,茨城県,,62,47
2021-05-16T00:00:00,080004,茨城県,,68,55
2021-05-17T00:00:00,080004,茨城県,,80,62
2021-05-18T00:00:00,080004,茨城県,,31,13
2021-05-19T00:00:00,080004,茨城県,,59,43
2021-05-20T00:00:00,080004,茨城県,,62,47
2021-05-21T00:00:00,080004,茨城県,,53,39
2021-05-22T00:00:00,080004,茨城県,,49,31
2021-05-23T00:00:00,080004,茨城県,,53,38
2021-05-24T00:00:00,080004,茨城県,,26,18
2021-05-25T00:00:00,080004,茨城県,,50,27
2021-05-26T00:00:00,080004,茨城県,,66,47
2021-05-27T00:00:00,080004,茨城県,,50,37
2021-05-28T00:00:00,080004,茨城県,,47,31
2021-05-29T00:00:00,080004,茨城県,,50,42
2021-05-30T00:00:00,080004,茨城県,,28,22
2021-05-31T00:00:00,080004,茨城県,,16,9
2021-06-01T00:00:00,080004,茨城県,,25,11
2021-06-02T00:00:00,080004,茨城県,,38,22
2021-06-03T00:00:00,080004,茨城県,,22,13
2021-06-04T00:00:00,080004,茨城県,,45,32
2021-06-05T00:00:00,080004,茨城県,,27,19
2021-06-06T00:00:00,080004,茨城県,,34,28
2021-06-07T00:00:00,080004,茨城県,,24,17
2021-06-08T00:00:00,080004,茨城県,,14,11
2021-06-09T00:00:00,080004,茨城県,,24,15
2021-06-10T00:00:00,080004,茨城県,,25,10
2021-06-11T00:00:00,080004,茨城県,,15,9
2021-06-12T00:00:00,080004,茨城県,,84,83
2021-06-13T00:00:00,080004,茨城県,,24,17
2021-06-14T00:00:00,080004,茨城県,,12,11
2021-06-15T00:00:00,080004,茨城県,,15,10
2021-06-16T00:00:00,080004,茨城県,,23,12
2021-06-17T00:00:00,080004,茨城県,,15,10
2021-06-18T00:00:00,080004,茨城県,,21,12
2021-06-19T00:00:00,080004,茨城県,,33,26
2021-06-20T00:00:00,080004,茨城県,,17,11
2021-06-21T00:00:00,080004,茨城県,,5,2
2021-06-22T00:00:00,080004,茨城県,,19,9
2021-06-23T00:00:00,080004,茨城県,,20,7
2021-06-24T00:00:00,080004,茨城県,,38,19
2021-06-25T00:00:00,080004,茨城県,,56,36
2021-06-26T00:00:00,080004,茨城県,,31,14
2021-06-27T00:00:00,080004,茨城県,,37,22
2021-06-28T00:00:00,080004,茨城県,,14,6
2021-06-29T00:00:00,080004,茨城県,,26,13
2021-06-30T00:00:00,080004,茨城県,,27,15
2021-07-01T00:00:00,080004,茨城県,,26,16
2021-07-02T00:00:00,080004,茨城県,,23,13
2021-07-03T00:00:00,080004,茨城県,,28,17
2021-07-04T00:00:00,080004,茨城県,,30,19
2021-07-05T00:00:00,080004,茨城県,,12,5
2021-07-06T00:00:00,080004,茨城県,,17,8
2021-07-07T00:00:00,080004,茨城県,,24,12
2021-07-08T00:00:00,080004,茨城県,,26,10
2021-07-09T00:00:00,080004,茨城県,,35,18
2021-07-10T00:00:00,080004,茨城県,,37,20
2021-07-11T00:00:00,080004,茨城県,,35,15
2021-07-12T00:00:00,080004,茨城県,,20,15
2021-07-13T00:00:00,080004,茨城県,,36,24
2021-07-14T00:00:00,080004,茨城県,,37,25
2021-07-15T00:00:00,080004,茨城県,,48,31
2021-07-16T00:00:00,080004,茨城県,,60,35
2021-07-17T00:00:00,080004,茨城県,,45,25
2021-07-18T00:00:00,080004,茨城県,,34,17
2021-07-19T00:00:00,080004,茨城県,,27,17
2021-07-20T00:00:00,080004,茨城県,,57,30
2021-07-21T00:00:00,080004,茨城県,,77,38
2021-07-22T00:00:00,080004,茨城県,,86,54
2021-07-23T00:00:00,080004,茨城県,,54,25
2021-07-24T00:00:00,080004,茨城県,,44,29
2021-07-25T00:00:00,080004,茨城県,,63,44
2021-07-26T00:00:00,080004,茨城県,,86,46
2021-07-27T00:00:00,080004,茨城県,,96,51
2021-07-28T00:00:00,080004,茨城県,,193,109
2021-07-29T00:00:00,080004,茨城県,,166,85
2021-07-30T00:00:00,080004,茨城県,,222,135
2021-07-31T00:00:00,080004,茨城県,,172,92
2021-08-01T00:00:00,080004,茨城県,,202,116
2021-08-02T00:00:00,080004,茨城県,,172,86
2021-08-03T00:00:00,080004,茨城県,,197,100
2021-08-04T00:00:00,080004,茨城県,,290,180
2021-08-05T00:00:00,080004,茨城県,,185,102
2021-08-06T00:00:00,080004,茨城県,,283,160
2021-08-07T00:00:00,080004,茨城県,,256,163
2021-08-08T00:00:00,080004,茨城県,,299,184
2021-08-09T00:00:00,080004,茨城県,,217,138
2021-08-10T00:00:00,080004,茨城県,,223,140
2021-08-11T00:00:00,080004,茨城県,,180,96
2021-08-12T00:00:00,080004,茨城県,,274,158
2021-08-13T00:00:00,080004,茨城県,,334,199
2021-08-14T00:00:00,080004,茨城県,,391,234
2021-08-15T00:00:00,080004,茨城県,,238,155
2021-08-16T00:00:00,080004,茨城県,,186,122
2021-08-17T00:00:00,080004,茨城県,,260,150
2021-08-18T00:00:00,080004,茨城県,,345,188
2021-08-19T00:00:00,080004,茨城県,,296,170
2021-08-20T00:00:00,080004,茨城県,,355,224
2021-08-21T00:00:00,080004,茨城県,,364,201
2021-08-22T00:00:00,080004,茨城県,,334,192
2021-08-23T00:00:00,080004,茨城県,,276,210
2021-08-24T00:00:00,080004,茨城県,,247,144
2021-08-25T00:00:00,080004,茨城県,,275,154
2021-08-26T00:00:00,080004,茨城県,,271,172
2021-08-27T00:00:00,080004,茨城県,,328,199
2021-08-28T00:00:00,080004,茨城県,,281,175
2021-08-29T00:00:00,080004,茨城県,,221,148
2021-08-30T00:00:00,080004,茨城県,,227,151
2021-08-31T00:00:00,080004,茨城県,,160,102
2021-09-01T00:00:00,080004,茨城県,,215,118
2021-09-02T00:00:00,080004,茨城県,,220,133
2021-09-03T00:00:00,080004,茨城県,,262,174
2021-09-04T00:00:00,080004,茨城県,,263,163
2021-09-05T00:00:00,080004,茨城県,,259,181
2021-09-06T00:00:00,080004,茨城県,,158,105
2021-09-07T00:00:00,080004,茨城県,,125,75
2021-09-08T00:00:00,080004,茨城県,,205,134
2021-09-09T00:00:00,080004,茨城県,,183,126
2021-09-10T00:00:00,080004,茨城県,,163,110
2021-09-11T00:00:00,080004,茨城県,,140,96
2021-09-12T00:00:00,080004,茨城県,,134,90
2021-09-13T00:00:00,080004,茨城県,,114,79
2021-09-14T00:00:00,080004,茨城県,,78,56
2021-09-15T00:00:00,080004,茨城県,,120,84
2021-09-16T00:00:00,080004,茨城県,,139,88
2021-09-17T00:00:00,080004,茨城県,,107,72
2021-09-18T00:00:00,080004,茨城県,,105,68
2021-09-19T00:00:00,080004,茨城県,,91,67
2021-09-20T00:00:00,080004,茨城県,,63,46
2021-09-21T00:00:00,080004,茨城県,,38,27
2021-09-22T00:00:00,080004,茨城県,,27,14
2021-09-23T00:00:00,080004,茨城県,,50,31
2021-09-24T00:00:00,080004,茨城県,,71,44
2021-09-25T00:00:00,080004,茨城県,,16,10
2021-09-26T00:00:00,080004,茨城県,,47,24
2021-09-27T00:00:00,080004,茨城県,,31,18
2021-09-28T00:00:00,080004,茨城県,,25,17
2021-09-29T00:00:00,080004,茨城県,,44,26
2021-09-30T00:00:00,080004,茨城県,,20,13
2021-10-01T00:00:00,080004,茨城県,,28,16
2021-10-02T00:00:00,080004,茨城県,,19,16
2021-10-03T00:00:00,080004,茨城県,,9,4
2021-10-04T00:00:00,080004,茨城県,,15,7
2021-10-05T00:00:00,080004,茨城県,,12,9
2021-10-06T00:00:00,080004,茨城県,,25,17
2021-10-07T00:00:00,080004,茨城県,,16,7
2021-10-08T00:00:00,080004,茨城県,,12,8
2021-10-09T00:00:00,080004,茨城県,,19,8
2021-10-10T00:00:00,080004,茨城県,,17,15
2021-10-11T00:00:00,080004,茨城県,,3,3
2021-10-12T00:00:00,080004,茨城県,,6,6
2021-10-13T00:00:00,080004,茨城県,,11,4
2021-10-14T00:00:00,080004,茨城県,,5,3
2021-10-15T00:00:00,080004,茨城県,,9,5
2021-10-16T00:00:00,080004,茨城県,,5,2
2021-10-17T00:00:00,080004,茨城県,,5,1
2021-10-18T00:00:00,080004,茨城県,,1,1
2021-10-19T00:00:00,080004,茨城県,,6,1
2021-10-20T00:00:00,080004,茨城県,,7,7
2021-10-21T00:00:00,080004,茨城県,,6,6
2021-10-22T00:00:00,080004,茨城県,,5,4
2021-10-23T00:00:00,080004,茨城県,,3,2
2021-10-24T00:00:00,080004,茨城県,,0,0
2021-10-25T00:00:00,080004,茨城県,,0,0
2021-10-26T00:00:00,080004,茨城県,,3,1
2021-10-27T00:00:00,080004,茨城県,,1,0
2021-10-28T00:00:00,080004,茨城県,,2,2
2021-10-29T00:00:00,080004,茨城県,,4,2
2021-10-30T00:00:00,080004,茨城県,,6,3
2021-10-31T00:00:00,080004,茨城県,,3,1
2021-11-01T00:00:00,080004,茨城県,,0,0
2021-11-02T00:00:00,080004,茨城県,,1,0
2021-11-03T00:00:00,080004,茨城県,,1,1
2021-11-04T00:00:00,080004,茨城県,,1,0
2021-11-05T00:00:00,080004,茨城県,,1,0
2021-11-06T00:00:00,080004,茨城県,,2,1
2021-11-07T00:00:00,080004,茨城県,,4,2
2021-11-08T00:00:00,080004,茨城県,,1,0
2021-11-09T00:00:00,080004,茨城県,,2,0
2021-11-10T00:00:00,080004,茨城県,,3,0
2021-11-11T00:00:00,080004,茨城県,,3,2
2021-11-12T00:00:00,080004,茨城県,,6,4
2021-11-13T00:00:00,080004,茨城県,,4,2
2021-11-14T00:00:00,080004,茨城県,,1,1
2021-11-15T00:00:00,080004,茨城県,,2,0
2021-11-16T00:00:00,080004,茨城県,,1,1
2021-11-17T00:00:00,080004,茨城県,,1,0
2021-11-18T00:00:00,080004,茨城県,,2,2
2021-11-19T00:00:00,080004,茨城県,,4,1
2021-11-20T00:00:00,080004,茨城県,,3,3
2021-11-21T00:00:00,080004,茨城県,,1,0
2021-11-22T00:00:00,080004,茨城県,,0,0
2021-11-23T00:00:00,080004,茨城県,,0,0
2021-11-24T00:00:00,080004,茨城県,,0,0
2021-11-25T00:00:00,080004,茨城県,,0,0
2021-11-26T00:00:00,080004,茨城県,,1,0
2021-11-27T00:00:00,080004,茨城県,,1,0
2021-11-28T00:00:00,080004,茨城県,,0,0
2021-11-29T00:00:00,080004,茨城県,,0,0
2021-11-30T00:00:00,080004,茨城県,,0,0
2021-12-01T00:00:00,080004,茨城県,,0,0
2021-12-02T00:00:00,080004,茨城県,,0,0
2021-12-03T00:00:00,080004,茨城県,,0,0
2021-12-04T00:00:00,080004,茨城県,,0,0
2021-12-05T00:00:00,080004,茨城県,,0,0
2021-12-06T00:00:00,080004,茨城県,,0,0
2021-12-07T00:00:00,080004,茨城県,,1,0
2021-12-08T00:00:00,080004,茨城県,,1,0
2021-12-09T00:00:00,080004,茨城県,,4,2
2021-12-10T00:00:00,080004,茨城県,,3,2
2021-12-11T00:00:00,080004,茨城県,,4,4
2021-12-12T00:00:00,080004,茨城県,,1,1
2021-12-13T00:00:00,080004,茨城県,,0,0
2021-12-14T00:00:00,080004,茨城県,,2,2
2021-12-15T00:00:00,080004,茨城県,,1,0
2021-12-16T00:00:00,080004,茨城県,,2,1
2021-12-17T00:00:00,080004,茨城県,,0,0
2021-12-18T00:00:00,080004,茨城県,,1,1
2021-12-19T00:00:00,080004,茨城県,,1,0
2021-12-20T00:00:00,080004,茨城県,,2,0
2021-12-21T00:00:00,080004,茨城県,,3,2
2021-12-22T00:00:00,080004,茨城県,,2,1
2021-12-23T00:00:00,080004,茨城県,,0,0
2021-12-24T00:00:00,080004,茨城県,,1,1
2021-12-25T00:00:00,080004,茨城県,,2,0
2021-12-26T00:00:00,080004,茨城県,,2,2
2021-12-27T00:00:00,080004,茨城県,,1,0
2021-12-28T00:00:00,080004,茨城県,,0,0
2021-12-29T00:00:00,080004,茨城県,,4,3
2021-12-30T00:00:00,080004,茨城県,,1,0
2021-12-31T00:00:00,080004,茨城県,,1,0
2022-01-01T00:00:00,080004,茨城県,,1,1
2022-01-02T00:00:00,080004,茨城県,,2,2
2022-01-03T00:00:00,080004,茨城県,,2,0
2022-01-04T00:00:00,080004,茨城県,,10,7
2022-01-05T00:00:00,080004,茨城県,,16,9
2022-01-06T00:00:00,080004,茨城県,,33,13
2022-01-07T00:00:00,080004,茨城県,,57,31
2022-01-08T00:00:00,080004,茨城県,,102,63
2022-01-09T00:00:00,080004,茨城県,,75,38
2022-01-10T00:00:00,080004,茨城県,,48,28
2022-01-11T00:00:00,080004,茨城県,,46,32
2022-01-12T00:00:00,080004,茨城県,,127,65
2022-01-13T00:00:00,080004,茨城県,,177,115
2022-01-14T00:00:00,080004,茨城県,,249,144
2022-01-15T00:00:00,080004,茨城県,,255,154
2022-01-16T00:00:00,080004,茨城県,,252,161
2022-01-17T00:00:00,080004,茨城県,,318,216
2022-01-18T00:00:00,080004,茨城県,,256,164
2022-01-19T00:00:00,080004,茨城県,,393,234
2022-01-20T00:00:00,080004,茨城県,,476,286
2022-01-21T00:00:00,080004,茨城県,,595,345
2022-01-22T00:00:00,080004,茨城県,,639,431
2022-01-23T00:00:00,080004,茨城県,,689,455
2022-01-24T00:00:00,080004,茨城県,,645,435
2022-01-25T00:00:00,080004,茨城県,,611,388
2022-01-26T00:00:00,080004,茨城県,,861,534
2022-01-27T00:00:00,080004,茨城県,,857,514
2022-01-28T00:00:00,080004,茨城県,,983,592
2022-01-29T00:00:00,080004,茨城県,,904,500
2022-01-30T00:00:00,080004,茨城県,,1086,624
2022-01-31T00:00:00,080004,茨城県,,939,503
2022-02-01T00:00:00,080004,茨城県,,726,435
2022-02-02T00:00:00,080004,茨城県,,1139,672
2022-02-03T00:00:00,080004,茨城県,,1374,807
2022-02-04T00:00:00,080004,茨城県,,1445,785
2022-02-05T00:00:00,080004,茨城県,,1555,743
2022-02-06T00:00:00,080004,茨城県,,1668,846
2022-02-07T00:00:00,080004,茨城県,,1487,713
2022-02-08T00:00:00,080004,茨城県,,1261,632
2022-02-09T00:00:00,080004,茨城県,,1531,750
2022-02-10T00:00:00,080004,茨城県,,1484,732
2022-02-11T00:00:00,080004,茨城県,,1703,940
2022-02-12T00:00:00,080004,茨城県,,1681,817
2022-02-13T00:00:00,080004,茨城県,,1180,631
2022-02-14T00:00:00,080004,茨城県,,1121,602
2022-02-15T00:00:00,080004,茨城県,,818,421
2022-02-16T00:00:00,080004,茨城県,,1138,581
2022-02-17T00:00:00,080004,茨城県,,1513,781
2022-02-18T00:00:00,080004,茨城県,,1500,800
2022-02-19T00:00:00,080004,茨城県,,1527,748
2022-02-20T00:00:00,080004,茨城県,,1525,875
2022-02-21T00:00:00,080004,茨城県,,1204,633
2022-02-22T00:00:00,080004,茨城県,,853,510
2022-02-23T00:00:00,080004,茨城県,,1219,639
2022-02-24T00:00:00,080004,茨城県,,1273,808
2022-02-25T00:00:00,080004,茨城県,,1188,638
2022-02-26T00:00:00,080004,茨城県,,1202,681
2022-02-27T00:00:00,080004,茨城県,,1257,772
2022-02-28T00:00:00,080004,茨城県,,1476,810
2022-03-01T00:00:00,080004,茨城県,,1009,550
2022-03-02T00:00:00,080004,茨城県,,1334,839
2022-03-03T00:00:00,080004,茨城県,,1519,884
2022-03-04T00:00:00,080004,茨城県,,1624,886
2022-03-05T00:00:00,080004,茨城県,,1593,915
2022-03-06T00:00:00,080004,茨城県,,1484,826
2022-03-07T00:00:00,080004,茨城県,,1139,665
2022-03-08T00:00:00,080004,茨城県,,1047,649
2022-03-09T00:00:00,080004,茨城県,,1221,720
2022-03-10T00:00:00,080004,茨城県,,1539,928
2022-03-11T00:00:00,080004,茨城県,,1666,1054
2022-03-12T00:00:00,080004,茨城県,,1748,1028
2022-03-13T00:00:00,080004,茨城県,,1553,988
2022-03-14T00:00:00,080004,茨城県,,1258,654
2022-03-15T00:00:00,080004,茨城県,,908,500
2022-03-16T00:00:00,080004,茨城県,,1261,750
2022-03-17T00:00:00,080004,茨城県,,1527,919
2022-03-18T00:00:00,080004,茨城県,,1800,998
2022-03-19T00:00:00,080004,茨城県,,1621,900
2022-03-20T00:00:00,080004,茨城県,,1282,727
2022-03-21T00:00:00,080004,茨城県,,1410,831
